sms_text,category,transaction_type,amount,merchant,bank,bank_key,date,language
"Your monthly salary of EGP 17,034.82 has been credited to account ****9126 - QNBAlAhli",Salary,Salary Credit,17034.82,MONTHLY SALARY,QNBAlAhli,QNB_ALAHLI,11 JUN 2026,en
حولت لصديقك جنى م**** M*** مبلغ 539.39 جنيه عن طريق تطبيق البنك على موبايلك.,Transfer,Transfer,539.39,اورنج كاش,بنك اسكندرية,Alexbank,29/06/2026,ar
عميلنا العزيز، تم استخدام بطاقتكم الائتمانية المنتهية برقم 2515 لسداد مبلغ 346.03 ج.م لدى OSN+.,Entertainment,Purchase,346.03,OSN+,AAIB,AAIB,06/02/2026,ar
"Your account XXXXX4284 has been credited with EGP 19,637.59 via Payroll Deposit on 12 JUL 2026. Thank you",Salary,Salary Credit,19637.59,MONTHLY SALARY,AAIB-EGYPT,AAIB,12 JUL 2026,en
"Dear Customer, your card ending 2048 was used for EGP 2,974.26 at 2B on 20 JAN 2026 - QNBAlAhli",Shopping,Purchase,2974.26,2B,QNBAlAhli,QNB_ALAHLI,20 JAN 2026,en
"Dear Customer, EGP 2,118.23 was withdrawn via Cash Advance from your Credit Card ending 1683You withdrew EGP 2,118.23 from your account using your debit card on 12 JUL 2026 - NBE",ATM Withdrawal,ATM Withdrawal,2118.23,ATM WITHDRAWAL,NBE,NBE,12 JUL 2026,en
عزيزنا العميل، تم خصم مبلغ 282.30 جنيه من حسابك رقم ****7387 لدى CAREEM بتاريخ 05/04/2026 - AlexBank,Transport,Purchase,282.3,CAREEM,AlexBank,Alexbank,05/04/2026,ar
"Dear Customer, your card ending 3170 was used for EGP 311.93 at METRO MARKET on 14 APR 2026 - CIB-EGYPT",Groceries,Purchase,311.93,METRO MARKET,CIB-EGYPT,CIB,14 APR 2026,en
"Your account ending in 9366 has been credited with EGP 4,065.28 via Inward Local Transfer. Total Available Balance: EGP 8,352.11",Transfer,Transfer,4065.28,Orange Cash,BdC,BANQUE_DU_CAIRE,06 JUN 2026,en
"تنبيه: تم إضافة تحويل وارد بحسابكم المنتهي برقم 5564 بمبلغ 3,657.89 ج.م من سارة ح**** S*** بتاريخ اليوم 06/04/2026.",Transfer,Transfer,3657.89,اورنج كاش,ADIB,ADIB,06/04/2026,ar
"Dear Customer, your card ending 2475 was used for EGP 725.55 at CARREFOUR on 22 APR 2026 - QNB",Groceries,Purchase,725.55,CARREFOUR,QNB,QNB_ALAHLI,22 APR 2026,en
"Cash withdrawal of EGP 1,289.41 from (New Cairo) using card ending 4662 on 20 MAY 2026. Remaining Balance: EGP 5,637.66",ATM Withdrawal,ATM Withdrawal,1289.41,ATM WITHDRAWAL,FAB_EGYPT,FAB,20 MAY 2026,en
عزيزنا العميل، تم خصم مبلغ 377.50 جنيه من حسابك رقم ****3625 لدى OTLOB بتاريخ 09/02/2026 - BM-Egypt,Dining,Purchase,377.5,OTLOB,BM-Egypt,BANQUE_MISR,09/02/2026,ar
"عميلنا العزيز، تم إضافة مرتبكم بمبلغ 14,003.27 ج.م إلى حسابكم المنتهي برقم 6952 بتاريخ 12/06/2026. رصيدكم المتاح الحالي هو 18,373.53 ج.م.",Salary,Salary Credit,14003.27,راتب شهري,Alex Bank,Alexbank,12/06/2026,ar
"تم خصم 1,279.25 جم من حسابكم رقم 9230 عند H&M يوم 06-23 الساعة 03:13 المتاح 6,055.57 جم للمزيد اتصل ب 19623",Shopping,Purchase,1279.25,H&M,البنك الأهلي المصري,NBE,06-23,ar
"Transaction Alert: EGP 1,168.92 debited at OSCAR MARKET on 06 JUL 2026. Card ****9379 - CIB-EGYPT",Groceries,Purchase,1168.92,OSCAR MARKET,CIB-EGYPT,CIB,06 JUL 2026,en
تم الدفع لصالح VODAFONE EGYPT بمبلغ 157.85 جنيه عن طريق بطاقتك بتاريخ 19/05/2026,Bills,Purchase,157.85,VODAFONE EGYPT,Alex_Bank,Alexbank,19/05/2026,ar
"Your account XXXXX8560 has been credited with EGP 7,386.04 via Payroll Deposit on 28 JAN 2026. Thank you",Salary,Salary Credit,7386.04,MONTHLY SALARY,FAB EGYPT,FAB,28 JAN 2026,en
"From HSBC: 14MAY26 CAIRO METRO Purchase from 276-747***-151 EGP 59.65- Your available balance is EGP 3,581.07",Transport,Purchase,59.65,CAIRO METRO,HSBC,HSBC,14MAY26,en
"Dear Customer, your card ending 6464 was used for EGP 774.81 at VODAFONE EGYPT on 01 MAR 2026 - QNBAlAhli",Bills,Purchase,774.81,VODAFONE EGYPT,QNBAlAhli,QNB_ALAHLI,01 MAR 2026,en
"Transaction Alert: EGP 2,956.12 debited at FRESH on 11 APR 2026. Card ****4233 - ADIB_EGYPT",Shopping,Purchase,2956.12,FRESH,ADIB_EGYPT,ADIB,11 APR 2026,en
"Dear Customer, your card ending 1005 was used for EGP 728.36 at ZARA on 27 JAN 2026 - CIB-EGYPT",Shopping,Purchase,728.36,ZARA,CIB-EGYPT,CIB,27 JAN 2026,en
"تمت عملية شراء بمبلغ 70.61 ج.م لدى SHAHID باستخدام بطاقتكم المنتهية برقم 9995. الرصيد المتاح: 2,758.09 ج.م.",Entertainment,Purchase,70.61,SHAHID,بنك مصر,BANQUE_MISR,25/03/2026,ar
تنبيه: عملية شراء بقيمة 760.63 جنيه في LULU HYPERMARKET تمت بنجاح - بنك اسكندرية,Groceries,Purchase,760.63,LULU HYPERMARKET,بنك اسكندرية,Alexbank,29/03/2026,ar
"تم الدفع لصالح B.TECH بمبلغ 1,499.76 جنيه عن طريق بطاقتك بتاريخ 04/05/2026",Shopping,Purchase,1499.76,B.TECH,Banque Du Caire,BANQUE_DU_CAIRE,04/05/2026,ar
Transaction Alert: EGP 20.08 debited at CHILL OUT on 04 APR 2026. Card ****2124 - CIB-EGYPT,Transport,Purchase,20.08,CHILL OUT,CIB-EGYPT,CIB,04 APR 2026,en
CIB Alert: EGP 513.84 debited from ETISALAT MISR/Account card ending 1834 at POS transaction.,Bills,Purchase,513.84,ETISALAT MISR,CIB,CIB,04 APR 2026,en
"Dear Customer, your card ending 6736 was used for EGP 403.03 at CILANTRO on 23 MAY 2026 - ADIB",Dining,Purchase,403.03,CILANTRO,ADIB,ADIB,23 MAY 2026,en
"Dear Customer, your card ending 2675 was used for EGP 216.09 at OTLOB on 01 JUL 2026 - FAB_EGYPT",Dining,Purchase,216.09,OTLOB,FAB_EGYPT,FAB,01 JUL 2026,en
تم الدفع لصالح CHILL OUT بمبلغ 287.62 جنيه عن طريق بطاقتك بتاريخ 27/02/2026,Transport,Purchase,287.62,CHILL OUT,Alexandria Bank,Alexbank,27/02/2026,ar
ADIB EGYPT Alert: EGP 199.46 debited from BAZOOKA/Account card ending 4671 at POS transaction.,Dining,Purchase,199.46,BAZOOKA,ADIB EGYPT,ADIB,11 JUL 2026,en
"Your corporate salary of EGP 15,956.29 was credited to your account ending in 7223 on 11 JUL 2026. Your available balance is EGP 16,092.74.",Salary,Salary Credit,15956.29,MONTHLY SALARY,QNB-EGYPT,QNB_ALAHLI,11 JUL 2026,en
"تم تحويل دفعة راتب واردة بمبلغ 21,969.36 ج.م إلى بطاقة المرتبات الخاصة بكم في 17/06/2026 الساعة 16:23.",Salary,Salary Credit,21969.36,راتب شهري,AAIB-EGYPT,AAIB,17/06/2026,ar
"From HSBC EGYPT: 28JAN26 DIDI Purchase from 143-839***-597 EGP 96.36- Your available balance is EGP 2,872.36",Transport,Purchase,96.36,DIDI,HSBC EGYPT,HSBC,28JAN26,en
لقد قمت بسحب 507.51 جنيه نقدا من فرع البنك الرئيسي باستخدام بطاقتك رقم 2755.,ATM Withdrawal,ATM Withdrawal,507.51,ماكينة صراف آلي,Banque Du Caire,BANQUE_DU_CAIRE,07/05/2026,ar
"عزيزنا العميل، تم سحب مبلغ 2,505.78 جم من ماكينة الصراف الآلي باستخدام بطاقة الخصم رقم 7346 بتاريخ 06-15 الساعة 06:27 الرصيد المتاح 3,258.08 جم",ATM Withdrawal,ATM Withdrawal,2505.78,ماكينة صراف آلي,NBE,NBE,06-15,ar
AAIB-EGYPT Alert: EGP 125.62 debited from CAREEM/Account card ending 3518 at POS transaction.,Transport,Purchase,125.62,CAREEM,AAIB-EGYPT,AAIB,12 JUN 2026,en
"From HSBC: 12FEB26 Transfer to INSTAPAY 212-275***-919 EGP 2,152.85- Your available balance is EGP 6,581.41",Transfer,Transfer,2152.85,INSTAPAY,HSBC,HSBC,12FEB26,en
عميلنا العزيز، تم تحويل مبلغ 149.79 ج.م من حسابكم عبر تطبيق الهاتف البنكي إلى حساب رقم XXXXX3317 في 29/04/2026 02:09.,Transfer,Transfer,149.79,فودافون كاش,بنك مصر,BANQUE_MISR,29/04/2026,ar
"Dear Customer, your card ending 2574 was used for EGP 230.72 at CHILL OUT on 27 MAR 2026 - CIB-EGYPT",Transport,Purchase,230.72,CHILL OUT,CIB-EGYPT,CIB,27 MAR 2026,en
"عميلنا العزيز، تم إضافة مرتبكم بمبلغ 9,744.40 ج.م إلى حسابكم المنتهي برقم 6156 بتاريخ 26/05/2026. رصيدكم المتاح الحالي هو 12,601.77 ج.م.",Salary,Salary Credit,9744.4,راتب شهري,CIB Egypt,CIB,26/05/2026,ar
"تمت عملية شراء بمبلغ 653.67 ج.م لدى AWLAD RAGAB باستخدام بطاقتكم المنتهية برقم 5602. الرصيد المتاح: 2,295.61 ج.م.",Groceries,Purchase,653.67,AWLAD RAGAB,Alex_Bank,Alexbank,09/03/2026,ar
تنبيه: عملية شراء بقيمة 333.84 جنيه في ELECTRICITY COMPANY تمت بنجاح - CIB,Bills,Purchase,333.84,ELECTRICITY COMPANY,CIB,CIB,02/06/2026,ar
ADIB Alert: EGP 622.55 debited from VODAFONE EGYPT/Account card ending 3511 at POS transaction.,Bills,Purchase,622.55,VODAFONE EGYPT,ADIB,ADIB,11 FEB 2026,en
"تم خصم 462.31 جم من حسابكم رقم 6231 عند BREADFAST يوم 03-25 الساعة 14:13 المتاح 2,569.64 جم للمزيد اتصل ب 19623",Groceries,Purchase,462.31,BREADFAST,BanK-AlAhly,NBE,03-25,ar
"حولت لصديقك يوسف ي**** A*** مبلغ 1,564.65 جنيه عن طريق تطبيق البنك على موبايلك.",Transfer,Transfer,1564.65,اورنج كاش,AlexandriaBank,Alexbank,11/07/2026,ar
"Your monthly salary of EGP 11,363.48 has been credited to account ****6410 - AAIB",Salary,Salary Credit,11363.48,MONTHLY SALARY,AAIB,AAIB,21 JUN 2026,en
"تمت عملية شراء بمبلغ 716.38 ج.م لدى ALFA MARKET باستخدام بطاقتكم المنتهية برقم 8673. الرصيد المتاح: 2,038.38 ج.م.",Groceries,Purchase,716.38,ALFA MARKET,BDC-Egypt,BANQUE_DU_CAIRE,03/06/2026,ar
"Dear Customer, your card ending 3369 was used for EGP 239.02 at ORANGE EGYPT on 18 JAN 2026 - AAIB",Bills,Purchase,239.02,ORANGE EGYPT,AAIB,AAIB,18 JAN 2026,en
"Your monthly salary of EGP 7,325.06 has been credited to account ****7897 - FAB",Salary,Salary Credit,7325.06,MONTHLY SALARY,FAB,FAB,24 APR 2026,en
Transaction Alert: EGP 562.55 debited at CARREFOUR on 02 JUL 2026. Card ****2589 - ADIB,Groceries,Purchase,562.55,CARREFOUR,ADIB,ADIB,02 JUL 2026,en
"From HSBC: 25MAR26 ATM Cash Withdrawal 698-198***-725 EGP 751.72- Your available balance is EGP 3,063.46",ATM Withdrawal,ATM Withdrawal,751.72,ATM WITHDRAWAL,HSBC,HSBC,25MAR26,en
"وصل راتبك بقيمة 20,261.34 ج.م إلى حسابك رقم 6776 بنجاح بتاريخ 28/05/2026.",Salary,Salary Credit,20261.34,راتب شهري,FAB EGYPT,FAB,28/05/2026,ar
"Dear Customer, your card ending 5816 was used for EGP 205.43 at ORANGE EGYPT on 02 JUL 2026 - ADIB EGYPT",Bills,Purchase,205.43,ORANGE EGYPT,ADIB EGYPT,ADIB,02 JUL 2026,en
ADIB_EGYPT Alert: EGP 350.98 debited from JUMIA/Account card ending 7649 at POS transaction.,Shopping,Purchase,350.98,JUMIA,ADIB_EGYPT,ADIB,04 JUN 2026,en
"Your account XXXXX5981 has been credited with EGP 11,245.49 via Payroll Deposit on 09 JUL 2026. Thank you",Salary,Salary Credit,11245.49,MONTHLY SALARY,AAIB-EGYPT,AAIB,09 JUL 2026,en
"You sent EGP 4,084.48 via Etisalat Cash on 06 FEB 2026 - ADIB",Transfer,Transfer,4084.48,Etisalat Cash,ADIB,ADIB,06 FEB 2026,en
"تم خصم 114.94 جم من بطاقة الخصم رقم 9208 عند ANGHAMI يوم 05-04 الساعة 16:25 المتاح 2,865.66 جم للمزيد اتصل ب 19623",Entertainment,Purchase,114.94,ANGHAMI,BanK-AlAhly,NBE,05-04,ar
"تم خصم 2,007.18 جم من حسابكم رقم 1052 عند B.TECH يوم 03-06 الساعة 00:47 المتاح 6,317.85 جم للمزيد اتصل ب 19623",Shopping,Purchase,2007.18,B.TECH,NBE,NBE,03-06,ar
"تمت عملية شراء بمبلغ 235.73 ج.م لدى OTLOB باستخدام بطاقتكم المنتهية برقم 1906. الرصيد المتاح: 2,511.78 ج.م.",Dining,Purchase,235.73,OTLOB,بنك مصر,BANQUE_MISR,26/04/2026,ar
"Dear Customer, your card ending 2944 was used for EGP 728.02 at Mahmoud El Far on 25 JUN 2026 - AAIB",Groceries,Purchase,728.02,Mahmoud El Far,AAIB,AAIB,25 JUN 2026,en
"From HSBC: 13JUL26 Salary Credit 706-221***-268 EGP 11,053.66+ Your available balance is EGP 15,358.59",Salary,Salary Credit,11053.66,MONTHLY SALARY,HSBC,HSBC,13JUL26,en
"تنبيه: تم إضافة تحويل وارد بحسابكم المنتهي برقم 8295 بمبلغ 4,931.75 ج.م من جنى ح**** M*** بتاريخ اليوم 06/05/2026.",Transfer,Transfer,4931.75,اتصالات كاش,AlexBank,Alexbank,06/05/2026,ar
"تم خصم 121.04 جم من بطاقة الخصم رقم 7427 عند YOUTUBE PREMIUM يوم 04-27 الساعة 13:11 المتاح 2,979.59 جم للمزيد اتصل ب 19623",Entertainment,Purchase,121.04,YOUTUBE PREMIUM,BanK-AlAhly,NBE,04-27,ar
"Dear Customer, your card ending 2383 was used for EGP 239.61 at KFC on 16 APR 2026 - AAIB",Dining,Purchase,239.61,KFC,AAIB,AAIB,16 APR 2026,en
Transaction Alert: EGP 185.73 debited at KFC on 04 FEB 2026. Card ****9719 - AAIB-EGYPT,Dining,Purchase,185.73,KFC,AAIB-EGYPT,AAIB,04 FEB 2026,en
"Your account ending in 5880 has been credited with EGP 1,609.43 via Inward Local Transfer. Total Available Balance: EGP 3,273.87",Transfer,Transfer,1609.43,VODAFONE CASH,ADIB,ADIB,19 APR 2026,en
ADIB_EGYPT Alert: EGP 186.65 debited from GAS MISR/Account card ending 1305 at POS transaction.,Bills,Purchase,186.65,GAS MISR,ADIB_EGYPT,ADIB,27 FEB 2026,en
"From HSBC: 03JUL26 KFC Purchase from 982-723***-954 EGP 290.38- Your available balance is EGP 2,662.26",Dining,Purchase,290.38,KFC,HSBC,HSBC,03JUL26,en
تم الدفع لصالح WE TELECOM بمبلغ 465.87 جنيه عن طريق بطاقتك بتاريخ 20/01/2026,Bills,Purchase,465.87,WE TELECOM,بنك القاهرة,BANQUE_DU_CAIRE,20/01/2026,ar
"Dear Customer, your card ending 9276 was used for EGP 85.92 at YOUTUBE PREMIUM on 30 MAR 2026 - AAIB-EGYPT",Entertainment,Purchase,85.92,YOUTUBE PREMIUM,AAIB-EGYPT,AAIB,30 MAR 2026,en
QNB Alert: EGP 60.67 debited from SPOTIFY/Account card ending 4774 at POS transaction.,Entertainment,Purchase,60.67,SPOTIFY,QNB,QNB_ALAHLI,19 FEB 2026,en
عميلنا العزيز، تم استخدام بطاقتكم الائتمانية المنتهية برقم 2410 لسداد مبلغ 214.89 ج.م لدى UBER.,Transport,Purchase,214.89,UBER,QNB Al Ahli,QNB_ALAHLI,14/03/2026,ar
Transaction Alert: EGP 356.88 debited at WATCH IT on 07 MAR 2026. Card ****1415 - AAIB-EGYPT,Entertainment,Purchase,356.88,WATCH IT,AAIB-EGYPT,AAIB,07 MAR 2026,en
"From HSBC: 23JUN26 Pandora Purchase from 553-356***-566 EGP 834.26- Your available balance is EGP 5,738.65",Shopping,Purchase,834.26,Pandora,HSBC,HSBC,23JUN26,en
"Dear Customer, your card ending 1608 was used for EGP 114.31 at NETFLIX on 24 MAR 2026 - CIB Egypt",Entertainment,Purchase,114.31,NETFLIX,CIB Egypt,CIB,24 MAR 2026,en
"From HSBC EGYPT: 13APR26 Salary Credit 427-811***-578 EGP 16,776.18+ Your available balance is EGP 17,884.46",Salary,Salary Credit,16776.18,MONTHLY SALARY,HSBC EGYPT,HSBC,13APR26,en
"تم تحويل مبلغ 2,328.46 جنيه إلى حساب ****3362 عبر إنستا باي بتاريخ 08/06/2026",Transfer,Transfer,2328.46,إنستا باي,Banque Misr,BANQUE_MISR,08/06/2026,ar
"تم خصم 284.65 جم من بطاقة الائتمان رقم 7332 عند CHILL OUT يوم 01-27 الساعة 21:23 المتاح 4,552.46 جم للمزيد اتصل ب 19623",Transport,Purchase,284.65,CHILL OUT,NBE,NBE,01-27,ar
"تم تحويل دفعة راتب واردة بمبلغ 18,162.18 ج.م إلى بطاقة المرتبات الخاصة بكم في 26/03/2026 الساعة 19:08.",Salary,Salary Credit,18162.18,راتب شهري,بنك مصر,BANQUE_MISR,26/03/2026,ar
"تم خصم 118.43 جم من بطاقة الائتمان رقم 2119 عند CHILL OUT يوم 05-05 الساعة 11:22 المتاح 4,864.95 جم للمزيد اتصل ب 19623",Transport,Purchase,118.43,CHILL OUT,البنك الأهلي المصري,NBE,05-05,ar
"Dear Customer, your card ending 5098 was used for EGP 106.20 at WE TELECOM on 02 MAR 2026 - AAIB",Bills,Purchase,106.2,WE TELECOM,AAIB,AAIB,02 MAR 2026,en
"ADIB Alert: EGP 1,160.02 debited from LC WAIKIKI/Account card ending 7220 at POS transaction.",Shopping,Purchase,1160.02,LC WAIKIKI,ADIB,ADIB,07 MAR 2026,en
QNB-EGYPT Alert: EGP 342.52 debited from NETFLIX/Account card ending 3911 at POS transaction.,Entertainment,Purchase,342.52,NETFLIX,QNB-EGYPT,QNB_ALAHLI,13 JUN 2026,en
"Dear Customer, your card ending 6285 was used for EGP 101.16 at UBER on 06 MAR 2026 - ADIB",Transport,Purchase,101.16,UBER,ADIB,ADIB,06 MAR 2026,en
From HSBC: 28JAN26 WATER COMPANY Purchase from 853-373***-154 EGP 189.30- Your available balance is EGP 864.82,Bills,Purchase,189.3,WATER COMPANY,HSBC,HSBC,28JAN26,en
"تم خصم 713.70 جم من حسابكم رقم 3903 عند ETISALAT MISR يوم 03-24 الساعة 11:52 المتاح 4,091.32 جم للمزيد اتصل ب 19623",Bills,Purchase,713.7,ETISALAT MISR,البنك الأهلي المصري,NBE,03-24,ar
"تنبيه: تم إضافة تحويل وارد بحسابكم المنتهي برقم 4247 بمبلغ 1,695.27 ج.م من شهد ح**** A*** بتاريخ اليوم 29/03/2026.",Transfer,Transfer,1695.27,اتصالات كاش,بنك اسكندرية,Alexbank,29/03/2026,ar
"From HSBC EGYPT: 25FEB26 EGYPTIAN RAILWAYS Purchase from 146-268***-604 EGP 204.49- Your available balance is EGP 2,838.32",Transport,Purchase,204.49,EGYPTIAN RAILWAYS,HSBC EGYPT,HSBC,25FEB26,en
"تمت عملية شراء بمبلغ 238.37 ج.م لدى BREADFAST COFFEE باستخدام بطاقتكم المنتهية برقم 1903. الرصيد المتاح: 3,066.57 ج.م.",Dining,Purchase,238.37,BREADFAST COFFEE,AlexBank,Alexbank,24/04/2026,ar
BanK-AlAhly Alert: EGP 143.15 debited from STARBUCKS/Account card ending 2001 at POS transaction.,Dining,Purchase,143.15,STARBUCKS,BanK-AlAhly,NBE,27 APR 2026,en
"عزيزنا العميل، تم إيداع مرتب بقيمة 13,690.55 جم بحسابكم رقم 8994 بتاريخ 04-08 الساعة 12:23 الرصيد المتاح 18,600.64 جم",Salary,Salary Credit,13690.55,راتب شهري,BanK-AlAhly,NBE,04-08,ar
"بنك الأسكندرية Alert: EGP 2,700.85 debited from NOON/Account card ending 3480 at POS transaction.",Shopping,Purchase,2700.85,NOON,بنك الأسكندرية,Alexbank,23 JUN 2026,en
"Dear Customer, your card ending 4437 was used for EGP 122.60 at TOTAL FUEL STATION on 24 MAY 2026 - ADIB_EGYPT",Transport,Purchase,122.6,TOTAL FUEL STATION,ADIB_EGYPT,ADIB,24 MAY 2026,en
"ADIB_EGYPT Alert: Outward InstaPay transfer of EGP 2,343.66 from account XXXXX2211 was successful on 18 APR 2026 17:26. Ref: Utility Split.",Transfer,Transfer,2343.66,Etisalat Cash,ADIB_EGYPT,ADIB,18 APR 2026,en
تنبيه: عملية شراء بقيمة 572.28 جنيه في GAS MISR تمت بنجاح - Banque Du Caire,Bills,Purchase,572.28,GAS MISR,Banque Du Caire,BANQUE_DU_CAIRE,09/03/2026,ar
ADIB Alert: Outward InstaPay transfer of EGP 968.83 from account XXXXX6289 was successful on 24 JAN 2026 17:59. Ref: Utility Split.,Transfer,Transfer,968.83,Etisalat Cash,ADIB,ADIB,24 JAN 2026,en
"Cash withdrawal of EGP 829.76 from (Fifth Settlement) using card ending 7646 on 20 JAN 2026. Remaining Balance: EGP 2,072.14",ATM Withdrawal,ATM Withdrawal,829.76,ATM WITHDRAWAL,Banque Misr,BANQUE_MISR,20 JAN 2026,en
"تم خصم 511.47 جم من بطاقة الخصم رقم 6822 عند WE TELECOM يوم 06-28 الساعة 06:57 المتاح 3,496.26 جم للمزيد اتصل ب 19623",Bills,Purchase,511.47,WE TELECOM,البنك الأهلي المصري,NBE,06-28,ar
"إشعار إيداع: مبلغ 10,833.33 جم تم إضافته لحسابكم 5385 يوم 03-28 الساعة 17:42 المتاح 15,320.13 جم اتصل ب 19623",Salary,Salary Credit,10833.33,راتب شهري,البنك الأهلي المصري,NBE,03-28,ar
"تم خصم 425.96 جم من بطاقة الائتمان رقم 3281 عند KHEIR ZAMAN يوم 05-16 الساعة 23:37 المتاح 1,514.86 جم للمزيد اتصل ب 19623",Groceries,Purchase,425.96,KHEIR ZAMAN,BanK-AlAhly,NBE,05-16,ar
"From HSBC EGYPT: 11JUN26 ATM Cash Withdrawal 283-148***-400 EGP 1,261.15- Your available balance is EGP 2,789.78",ATM Withdrawal,ATM Withdrawal,1261.15,ATM WITHDRAWAL,HSBC EGYPT,HSBC,11JUN26,en
عميلنا العزيز، تم استخدام بطاقتكم الائتمانية المنتهية برقم 6483 لسداد مبلغ 326.46 ج.م لدى BAZOOKA.,Dining,Purchase,326.46,BAZOOKA,Banque Du Caire,BANQUE_DU_CAIRE,24/04/2026,ar
ADIB Alert: EGP 251.56 debited from UBER/Account card ending 6656 at POS transaction.,Transport,Purchase,251.56,UBER,ADIB,ADIB,17 JAN 2026,en
عميلنا العزيز، تم استخدام بطاقتكم الائتمانية المنتهية برقم 5023 لسداد مبلغ 138.07 ج.م لدى VOX CINEMA.,Entertainment,Purchase,138.07,VOX CINEMA,FAB EGYPT,FAB,03/02/2026,ar
"Dear Customer, your card ending 4190 was used for EGP 165.88 at CHILL OUT on 02 FEB 2026 - FAB",Transport,Purchase,165.88,CHILL OUT,FAB,FAB,02 FEB 2026,en
تنبيه: عملية شراء بقيمة 404.71 جنيه في JOHN MART تمت بنجاح - BdC,Groceries,Purchase,404.71,JOHN MART,BdC,BANQUE_DU_CAIRE,26/05/2026,ar
"عميلنا العزيز، تم إضافة مرتبكم بمبلغ 15,891.33 ج.م إلى حسابكم المنتهي برقم 6582 بتاريخ 08/03/2026. رصيدكم المتاح الحالي هو 18,763.88 ج.م.",Salary,Salary Credit,15891.33,راتب شهري,BDC-Egypt,BANQUE_DU_CAIRE,08/03/2026,ar
"قمت بتحويل 3,079.59 ج.م إلى مصطفى ي**** S*** بنجاح بتاريخ 04/05/2026 - BdC",Transfer,Transfer,3079.59,فودافون كاش,BdC,BANQUE_DU_CAIRE,04/05/2026,ar
"Cash withdrawal of EGP 2,870.13 from ATM on 05 MAY 2026. Card ****7648 - AAIB-EGYPT",ATM Withdrawal,ATM Withdrawal,2870.13,ATM WITHDRAWAL,AAIB-EGYPT,AAIB,05 MAY 2026,en
"Dear Customer, your card ending 7142 was used for EGP 189.96 at ANGHAMI on 08 FEB 2026 - AAIB",Entertainment,Purchase,189.96,ANGHAMI,AAIB,AAIB,08 FEB 2026,en
"Cash withdrawal of EGP 1,975.06 from ATM on 18 FEB 2026. Card ****2689 - CIB Egypt",ATM Withdrawal,ATM Withdrawal,1975.06,ATM WITHDRAWAL,CIB Egypt,CIB,18 FEB 2026,en
عزيزنا العميل، تم خصم مبلغ 496.22 جنيه من حسابك رقم ****4417 لدى BREADFAST COFFEE بتاريخ 16/04/2026 - QNB Al Ahli,Dining,Purchase,496.22,BREADFAST COFFEE,QNB Al Ahli,QNB_ALAHLI,16/04/2026,ar
"قمت بتحويل 1,110.82 ج.م إلى جنى ح**** A*** بنجاح بتاريخ 15/04/2026 - HSBC",Transfer,Transfer,1110.82,فودافون كاش,HSBC,HSBC,15/04/2026,ar
Transaction Alert: EGP 123.23 debited at BAZOOKA on 19 FEB 2026. Card ****3574 - Banque Misr,Dining,Purchase,123.23,BAZOOKA,Banque Misr,BANQUE_MISR,19 FEB 2026,en
Transaction Alert: EGP 297.81 debited at VOX CINEMA on 23 JUN 2026. Card ****4672 - AAIB-EGYPT,Entertainment,Purchase,297.81,VOX CINEMA,AAIB-EGYPT,AAIB,23 JUN 2026,en
ADIB_EGYPT Alert: EGP 998.42 debited from KHEIR ZAMAN/Account card ending 8956 at POS transaction.,Groceries,Purchase,998.42,KHEIR ZAMAN,ADIB_EGYPT,ADIB,27 FEB 2026,en
"You sent EGP 2,980.01 via INSTAPAY on 16 APR 2026 - FAB_EGYPT",Transfer,Transfer,2980.01,INSTAPAY,FAB_EGYPT,FAB,16 APR 2026,en
"تمت عملية شراء بمبلغ 164.31 ج.م لدى UBER باستخدام بطاقتكم المنتهية برقم 9770. الرصيد المتاح: 2,887.95 ج.م.",Transport,Purchase,164.31,UBER,Alex Bank,Alexbank,28/06/2026,ar
Transaction Alert: EGP 35.22 debited at WATANIYA on 31 MAY 2026. Card ****4313 - AAIB-EGYPT,Transport,Purchase,35.22,WATANIYA,AAIB-EGYPT,AAIB,31 MAY 2026,en
FAB_EGYPT Alert: EGP 306.20 debited from OSN+/Account card ending 2500 at POS transaction.,Entertainment,Purchase,306.2,OSN+,FAB_EGYPT,FAB,07 JUN 2026,en
"From HSBC EGYPT: 23FEB26 BREADFAST COFFEE Purchase from 650-234***-487 EGP 254.47- Your available balance is EGP 3,987.53",Dining,Purchase,254.47,BREADFAST COFFEE,HSBC EGYPT,HSBC,23FEB26,en
عميلنا العزيز، تم استخدام بطاقتكم الائتمانية المنتهية برقم 1793 لسداد مبلغ 372.44 ج.م لدى GOURMET EGYPT.,Groceries,Purchase,372.44,GOURMET EGYPT,بنك مصر,BANQUE_MISR,20/04/2026,ar
"Dear Customer, your card ending 9846 was used for EGP 96.54 at TOTAL FUEL STATION on 28 MAR 2026 - FAB EGYPT",Transport,Purchase,96.54,TOTAL FUEL STATION,FAB EGYPT,FAB,28 MAR 2026,en
"عميلنا العزيز، تم استخدام بطاقتكم الائتمانية المنتهية برقم 4095 لسداد مبلغ 2,992.63 ج.م لدى B.TECH.",Shopping,Purchase,2992.63,B.TECH,بنك اسكندرية,Alexbank,03/04/2026,ar
"QNBAlAhli Alert: Outward InstaPay transfer of EGP 3,495.55 from account XXXXX4820 was successful on 04 FEB 2026 10:19. Ref: Rent Payment.",Transfer,Transfer,3495.55,Orange Cash,QNBAlAhli,QNB_ALAHLI,04 FEB 2026,en
